"id","cooks_distance","converged","message"
"770",0.00120913582556539,TRUE,NA
"771",0.000341220323421909,TRUE,NA
"772",0.00141866512687069,TRUE,NA
"774",0.000107021237731115,TRUE,NA
"776",0.00135780474606236,TRUE,NA
"777",7.21765781235348e-05,TRUE,NA
"778",0.000821291233955923,TRUE,NA
"779",0.00100250168035485,TRUE,NA
"780",0.00107883589668959,TRUE,NA
"783",0.00147681394723174,TRUE,NA
"786",1.02859484156032e-06,TRUE,NA
"787",0.000940755778489088,TRUE,NA
"788",0.000503996297601973,TRUE,NA
"789",0.000256703344850059,TRUE,NA
"790",0.00028494472992537,TRUE,NA
"791",0.00013167634562681,TRUE,NA
"792",0.000319511486541222,TRUE,NA
"793",0.000637661650635967,TRUE,NA
"794",0.000159786297007873,TRUE,NA
"795",0.00299909143640398,TRUE,NA
"796",0.00275409704585727,TRUE,NA
"797",0.000313870139332606,TRUE,NA
"798",0.000231773686077983,TRUE,NA
"799",0.000868613192142475,TRUE,NA
"802",0.00159031171141565,TRUE,NA
"803",0.0224702832855479,TRUE,NA
"804",0.000256437322269602,TRUE,NA
"807",0.00474636398708544,TRUE,NA
"808",0.000879636577937916,TRUE,NA
"809",0.00264746309667606,TRUE,NA
"810",0.00136815712685776,TRUE,NA
"811",0.000160304860794004,TRUE,NA
"812",0.000266421479803251,TRUE,NA
"814",0.00054705915122948,TRUE,NA
"816",0.000116117854019435,TRUE,NA
"817",0.00302375256633215,TRUE,NA
"819",0.00139306372581935,TRUE,NA
"820",0.00223786367545652,TRUE,NA
"821",4.62455243760005e-05,TRUE,NA
"822",0.000833936591220077,TRUE,NA
"823",0.00120111810310673,TRUE,NA
"824",0.00277696185927827,TRUE,NA
"826",0.000356647817742348,TRUE,NA
"827",0.00064891225690785,TRUE,NA
"828",0.00147740235492124,TRUE,NA
"829",0.000132121305589894,TRUE,NA
"830",0.000677176260254102,TRUE,NA
"831",7.51924779396621e-05,TRUE,NA
"832",0.000198929786949608,TRUE,NA
"833",0.00112469855402322,TRUE,NA
"834",0.00155132815619219,TRUE,NA
"835",0.000443733460251504,TRUE,NA
"840",0.000120478532692251,TRUE,NA
"841",0.000333422889720766,TRUE,NA
"842",0.000377665350615171,TRUE,NA
"843",0.000167437957367847,TRUE,NA
"844",0.00187878461667123,TRUE,NA
"846",0.000554337763753381,TRUE,NA
"847",0.00297529204146761,TRUE,NA
"849",0.00277938576072062,TRUE,NA
"850",0.00141479638393908,TRUE,NA
"851",9.11433954270049e-05,TRUE,NA
"852",0.000671153681701015,TRUE,NA
"854",0.000834086002071468,TRUE,NA
"856",0.00272056878753012,TRUE,NA
"858",0.00356031042672948,TRUE,NA
"859",0.000839039904083931,TRUE,NA
"860",0.00117043911053029,TRUE,NA
"862",0.00673999884224265,TRUE,NA
"864",7.0361185305963e-05,TRUE,NA
"865",0.012137354454852,TRUE,NA
"866",0.00166213747088231,TRUE,NA
"867",0.000270444697583674,TRUE,NA
"868",0.00199843084931147,TRUE,NA
"869",0.000855649107587562,TRUE,NA
"870",0.000448526623044393,TRUE,NA
"872",0.000211248757919425,TRUE,NA
"875",0.00430595232177861,TRUE,NA
"876",0.00023403568206299,TRUE,NA
"879",0.000210270232398886,TRUE,NA
"882",0.0021205556993141,TRUE,NA
"883",7.88252172356878e-06,TRUE,NA
"885",0.000287223037159079,TRUE,NA
"886",9.27000136694179e-05,TRUE,NA
"888",0.000403903569943252,TRUE,NA
"889",0.000340296994830765,TRUE,NA
"891",0.000111907943776403,TRUE,NA
"892",0.00100783246674249,TRUE,NA
"893",4.6231738450844e-05,TRUE,NA
"896",8.1921967808873e-05,TRUE,NA
"897",0.00358839923380445,TRUE,NA
"900",9.2530346730931e-05,TRUE,NA
"901",0.0103542377968639,TRUE,NA
"902",0.000212235679946998,TRUE,NA
"904",0.000477678297556452,TRUE,NA
"905",0.000840696661534345,TRUE,NA
"907",0.00195133901284694,TRUE,NA
"908",3.14496479418452e-05,TRUE,NA
"909",0.000102153542591102,TRUE,NA
"910",0.00530464634577356,TRUE,NA
"912",0.00036576327367514,TRUE,NA
"913",0.0100101515800084,TRUE,NA
"914",0.000864922683936849,TRUE,NA
"915",0.00211807414753985,TRUE,NA
"916",0.000203692363046595,TRUE,NA
"918",0.000146834591815702,TRUE,NA
"919",8.79012883066461e-05,TRUE,NA
"920",0.00100152741978356,TRUE,NA
"921",0.000196316918419503,TRUE,NA
"922",0.00245043430179831,TRUE,NA
"924",0.00225716971952234,TRUE,NA
"925",0.000582463996981675,TRUE,NA
"926",0.000637103433344359,TRUE,NA
"928",0.000385734663320488,TRUE,NA
"929",0.000530266779214544,TRUE,NA
"930",0.00042881843620835,TRUE,NA
"933",0.000921866083944006,TRUE,NA
"934",0.000237095501774423,TRUE,NA
"935",0.000950165509006203,TRUE,NA
"936",0.0009780688054418,TRUE,NA
"939",0.000214471972300513,TRUE,NA
"942",1.25686306218994e-06,TRUE,NA
"943",0.000527850221819703,TRUE,NA
"944",0.00247162199822542,TRUE,NA
"945",0.000305119404924101,TRUE,NA
"946",0.00396556594837743,TRUE,NA
"947",0.000252400011121877,TRUE,NA
"948",0.000518601390659164,TRUE,NA
"950",0.00116408162047221,TRUE,NA
"951",0.00341991249243045,TRUE,NA
"952",0.00149557025356008,TRUE,NA
"953",0.0022566989930891,TRUE,NA
"954",0.00247917207652203,TRUE,NA
"955",5.26937913921157e-05,TRUE,NA
"957",0.000340450167012161,TRUE,NA
"958",0.00116434891239245,TRUE,NA
"960",0.00153471132590036,TRUE,NA
"961",0.000328092399144936,TRUE,NA
"962",0.00253061980219384,TRUE,NA
"964",0.000802088825592358,TRUE,NA
"965",0.0023710888562954,TRUE,NA
"969",0.00114055549323301,TRUE,NA
"971",0.0012838719503546,TRUE,NA
"972",0.000476539407541278,TRUE,NA
"973",0.000190370096835125,TRUE,NA
"974",6.96726143917312e-05,TRUE,NA
"976",0.000143005986911093,TRUE,NA
"977",8.64456005111991e-05,TRUE,NA
"978",9.15346578477424e-05,TRUE,NA
"979",0.000795104390637816,TRUE,NA
"980",0.00573274686033793,TRUE,NA
"981",0.000916498402554054,TRUE,NA
"982",0.00513579543070545,TRUE,NA
"985",0.000105368982638907,TRUE,NA
"987",0.00225471949869619,TRUE,NA
"989",0.000561111749345365,TRUE,NA
"990",0.00138735714371061,TRUE,NA
"991",0.00146989097648905,TRUE,NA
"992",0.000372674953102855,TRUE,NA
"993",0.00088516939492632,TRUE,NA
"995",0.000672638212858583,TRUE,NA
"997",0.00134284041511793,TRUE,NA
"999",0.00381184087373857,TRUE,NA
"1000",0.00136747008867716,TRUE,NA
"1002",0.000486589661701171,TRUE,NA
"1003",0.00182042048128598,TRUE,NA
"1004",0.00801006412109727,TRUE,NA
"1005",0.00264976348706127,TRUE,NA
"1007",0.000126356975175305,TRUE,NA
"1008",0.00195948853851343,TRUE,NA
"1009",3.89516666725225e-05,TRUE,NA
"1012",0.00247378614650755,TRUE,NA
"1014",0.000630608645538369,TRUE,NA
"1015",0.000806746339084048,TRUE,NA
"1016",0.000161851284475132,TRUE,NA
"1017",0.00327115560418543,TRUE,NA
"1018",0.00013262600299784,TRUE,NA
"1019",0.000678729556300037,TRUE,NA
"1020",0.000204243728382465,TRUE,NA
"1021",0.00146713549288443,TRUE,NA
"1022",0.00119346187014155,TRUE,NA
"1024",0.00134028748341058,TRUE,NA
"1025",0.00115441320460522,TRUE,NA
"1026",3.36031606155076e-05,TRUE,NA
"1028",0.000224298946345333,TRUE,NA
"1029",0.000852675558895624,TRUE,NA
"1030",5.80062551439523e-05,TRUE,NA
"1033",0.00121300737864822,TRUE,NA
"1035",0.00298399809870981,TRUE,NA
